product_id,name,category,price,launch_date
1,Chrome Shine Powder,nails,8.99,2025-07-10
2,Glazed Donut Gel Polish,nails,10.5,2025-09-05
3,French Tip Kit,nails,13.99,2025-11-20
4,Cat-Eye Magnetic Polish,nails,11.5,2026-01-15
5,Liquid Blush Tint,makeup,16.0,2025-08-01
6,Glowy Skin Tint,makeup,20.0,2025-10-10
7,Glass Lip Oil,makeup,14.5,2025-12-05
8,Cream Bronzer Stick,makeup,18.5,2026-02-01
9,Peptide Glazing Fluid,skincare,24.0,2025-07-25
10,Vitamin C Brightening Serum,skincare,29.99,2025-09-15
11,De-Puff Eye Patches,skincare,15.0,2025-11-01
12,Hydrating Toner Mist,skincare,19.5,2026-01-20
